,jde-li-o-kybernetiku-nikdy-nejsme-v-bezpeci,online-banik-hosti-bohemians-liberec-hraje-s-teplicemi-a-jablonec-proti-boleslavi,coefficient
spanelsko-v-generalce-na-ms-porazilo-jordansko-ghana-zdolala-svycarsko,5.997200371697545,5.153988741338253,11.151189113035798
online-cesko-faerske-ostrovy-4-0-hattrick-chytila-ctvrty-gol-dava-cerny,6.1165535263717175,4.028694301843643,10.14524782821536
fotbalisty-jablonce-ceka-v-podzimnim-louceni-boleslav-liberec-zase-teplice,5.521384656429291,4.358414702117443,9.879799358546734
stredocesky-kraj-pocita-dalsich-10-let-s-dieselovymi-vlaky-cast-lokalek-skonci,6.516385596245527,5.125748299062252,11.64213389530778
trener-jalonen-po-svycarsku-vykon-spatny-nebyl-ale-rozhodly-nase-chyby,5.852786902338266,5.260305806994438,11.113092709332705
slavia-v-lize-mistryn-dil-treti-zensky-fotbal-si-zaslouzi-respekt-zni-z-klubu,5.742117114365101,5.367831978946924,11.109949093312025
online-teplice-jdou-v-poharu-dal-hraje-liberec-a-pozdeji-i-slavia,4.885136246681213,3.755134329199791,8.640270575881004
sting-se-svymi-nejvetsimi-hity-zamiri-pristi-rok-do-pardubic,6.984177617356181,5.221951458603144,12.206129075959325
trpky-konec-velke-kariery-misto-ms-odridi-cakir-pet-minut-zapasu-s-ceskem,6.094139143824577,4.134682863950729,10.228822007775307
recenze-druha-trava-micha-bluegrass-s-psychedelickym-rockem,6.6035295110195875,5.9059636406600475,12.509493151679635
