,slug,coefficient_tfidf,coefficient_doc2vec,coefficient_word2vec
0,slavia-v-lize-mistryn-dil-treti-zensky-fotbal-si-zaslouzi-respekt-zni-z-klubu,0.8854537064126732,1.4172267142224737,1.1661843611421128
1,fotbalisty-jablonce-ceka-v-podzimnim-louceni-boleslav-liberec-zase-teplice,0.8296384528999659,1.1561660726788325,1.0795175426304204
2,trpky-konec-velke-kariery-misto-ms-odridi-cakir-pet-minut-zapasu-s-ceskem,0.7498304179080261,0.6708187442622638,0.7335659158833312
3,trener-jalonen-po-svycarsku-vykon-spatny-nebyl-ale-rozhodly-nase-chyby,0.7371103726043543,0.248335101404726,0.480691112756193
4,online-cesko-faerske-ostrovy-4-0-hattrick-chytila-ctvrty-gol-dava-cerny,0.7216669476890671,0.21555115502735575,0.4122622930331837
5,spanelsko-v-generalce-na-ms-porazilo-jordansko-ghana-zdolala-svycarsko,0.7054124581076188,0.2128459091501805,0.20735821237875082
6,online-teplice-jdou-v-poharu-dal-hraje-liberec-a-pozdeji-i-slavia,-0.9751370086096731,-0.5454099973394556,-0.061428143109477355
7,stredocesky-kraj-pocita-dalsich-10-let-s-dieselovymi-vlaky-cast-lokalek-skonci,-1.187691112731656,-0.61732994659712,-1.0954944617349265
8,sting-se-svymi-nejvetsimi-hity-zamiri-pristi-rok-do-pardubic,-1.2118916129518722,-0.84576222759126,-1.3673249430771666
9,recenze-druha-trava-micha-bluegrass-s-psychedelickym-rockem,-1.254392621328504,-1.9124415252179938,-1.5553315512146317
