,slug,coefficient
0,slavia-v-lize-mistryn-dil-treti-zensky-fotbal-si-zaslouzi-respekt-zni-z-klubu,8.953007012965651
1,fotbalisty-jablonce-ceka-v-podzimnim-louceni-boleslav-liberec-zase-teplice,8.722822058389243
2,trpky-konec-velke-kariery-misto-ms-odridi-cakir-pet-minut-zapasu-s-ceskem,8.393689648280782
3,trener-jalonen-po-svycarsku-vykon-spatny-nebyl-ale-rozhodly-nase-chyby,8.341231532153639
4,online-cesko-faerske-ostrovy-4-0-hattrick-chytila-ctvrty-gol-dava-cerny,8.277542059493262
5,spanelsko-v-generalce-na-ms-porazilo-jordansko-ghana-zdolala-svycarsko,8.210507714748836
6,online-teplice-jdou-v-poharu-dal-hraje-liberec-a-pozdeji-i-slavia,1.2798359303475157
7,stredocesky-kraj-pocita-dalsich-10-let-s-dieselovymi-vlaky-cast-lokalek-skonci,0.4032519551227369
8,sting-se-svymi-nejvetsimi-hity-zamiri-pristi-rok-do-pardubic,0.3034478568998621
9,recenze-druha-trava-micha-bluegrass-s-psychedelickym-rockem,0.12817152889036537
