,slug,coefficient
0,recenze-druha-trava-micha-bluegrass-s-psychedelickym-rockem,0.9266291223466395
1,sting-se-svymi-nejvetsimi-hity-zamiri-pristi-rok-do-pardubic,0.9041577093303202
2,stredocesky-kraj-pocita-dalsich-10-let-s-dieselovymi-vlaky-cast-lokalek-skonci,0.8623802885413169
3,spanelsko-v-generalce-na-ms-porazilo-jordansko-ghana-zdolala-svycarsko,0.826014008373022
4,trener-jalonen-po-svycarsku-vykon-spatny-nebyl-ale-rozhodly-nase-chyby,0.8231920525431632
5,slavia-v-lize-mistryn-dil-treti-zensky-fotbal-si-zaslouzi-respekt-zni-z-klubu,0.8229591920971869
6,trpky-konec-velke-kariery-misto-ms-odridi-cakir-pet-minut-zapasu-s-ceskem,0.757690519094467
7,online-cesko-faerske-ostrovy-4-0-hattrick-chytila-ctvrty-gol-dava-cerny,0.7514998391270636
8,fotbalisty-jablonce-ceka-v-podzimnim-louceni-boleslav-liberec-zase-teplice,0.7318369895219802
9,online-teplice-jdou-v-poharu-dal-hraje-liberec-a-pozdeji-i-slavia,0.6400200426578521
