,AP,precision_score,balanced_accuracies,DCG,DCG_AT_5,F1-SCORE,NDCG,NDCG_AT_5,model_variant,slug,category_title,post_slug
0,0.3104830354830355,0.15,0.5,2.112080514577053,"[0.8845377356638175, 0.0, 1.031960691607787, 0.0, 0.2948459118879392, 1.474229559439696, 0.8845377356638175, 2.801036162935422, 2.063921383215574, 1.3268066034957264, 1.769075471327635, 2.948459118879392, 1.031960691607787, 2.063921383215574, 1.769075471327635, 0.5896918237758784, 2.801036162935422, 2.653613206991453, 0.2948459118879392, 0.5896918237758784, 0.1474229559439696, 0.737114779719848, 1.474229559439696, 0.737114779719848, 0.737114779719848, 1.6216525153836656, 0.4422688678319088, 2.506190251047483, 2.506190251047483, 2.801036162935422, 2.3587672951035135, 1.9164984272716048, 1.3268066034957264, 0.0, 0.5896918237758784, 0.4422688678319088, 2.063921383215574, 0.737114779719848, 1.9164984272716048, 2.948459118879392, 2.948459118879392, 2.948459118879392, 2.948459118879392, 2.948459118879392, 2.948459118879392, 2.506190251047483, 2.948459118879392, 2.948459118879392, 2.948459118879392, 2.948459118879392, 2.948459118879392, 1.6216525153836656, 0.1474229559439696, 1.1793836475517567, 1.031960691607787, 2.211344339159544, 1.031960691607787, 1.1793836475517567, 2.506190251047483, 0.2948459118879392, 2.063921383215574, 2.211344339159544, 0.8845377356638175, 1.769075471327635, 0.5896918237758784, 1.6216525153836656, 0.5896918237758784, 2.211344339159544, 0.5896918237758784, 1.474229559439696, 2.063921383215574, 2.948459118879392, 2.3587672951035135, 1.769075471327635, 2.801036162935422, 2.506190251047483, 2.801036162935422, 2.211344339159544, 1.474229559439696, 1.769075471327635, 2.948459118879392, 2.948459118879392, 2.948459118879392, 2.948459118879392, 2.948459118879392, 2.948459118879392, 2.948459118879392, 2.653613206991453, 2.948459118879392, 2.948459118879392, 2.948459118879392, 2.506190251047483, 2.506190251047483, 2.506190251047483, 2.3587672951035135, 2.3587672951035135, 2.506190251047483, 1.1793836475517567, 2.3587672951035135, 2.653613206991453, 2.653613206991453, 2.653613206991453, 2.801036162935422, 2.063921383215574, 2.211344339159544, 0.8845377356638175, 1.1793836475517567, 0.4422688678319088, 1.9164984272716048, 0.4422688678319088, 0.8845377356638175, 2.063921383215574, 2.506190251047483, 1.6216525153836656, 0.5896918237758784, 1.6216525153836656, 1.6216525153836656, 2.948459118879392, 1.769075471327635, 1.474229559439696, 1.6216525153836656]",0.13846153846153847,0.6391206612148322,0.29999999999999993,doc2vec-full-text,tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech,Finance,tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech
1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,word2vec-full-text,tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech,Finance,tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech
2,0.7005211175379242,0.175,0.5,2.4640939336732286,0,0.18148148148148147,0.677321104444447,0.3499999999999999,tfidf,tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech,Finance,tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech
3,0.2813608776844071,0.15,0.5,2.112080514577053,0,0.13846153846153847,0.6391206612148322,0.29999999999999993,doc2vec,tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech,Finance,tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech
4,0.75415660048013,0.3,0.5,4.224161029154106,0,0.4499999999999999,0.8294475401685019,0.5999999999999999,word2vec-eval-2,tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech,Finance,tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech
5,0.46715686274509804,0.1,0.5,1.4080536763847022,0,0.06666666666666668,0.5496760645786226,0.23020392364556103,tfidf-full-text,tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech,Finance,tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech
6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,word2vec,chaos-v-mapach-kavkazu-proc-armenie-a-azerbajdzan-nebojuji-jen-o-karabach,Ostatní,chaos-v-mapach-kavkazu-proc-armenie-a-azerbajdzan-nebojuji-jen-o-karabach
7,0.09583333333333333,0.05,0.5,0.7040268381923511,0,0.01818181818181818,0.43167207946918174,0.18078394317246163,word2vec,zbavte-se-domacich-alergenu-sest-praktickych-rad-jak-na-to,Zdraví,zbavte-se-domacich-alergenu-sest-praktickych-rad-jak-na-to
8,0.7101206636500754,0.25,0.5,3.5201341909617554,0,0.3333333333333333,0.7747525516950363,0.49999999999999994,doc2vec,zbavte-se-domacich-alergenu-sest-praktickych-rad-jak-na-to,Zdraví,zbavte-se-domacich-alergenu-sest-praktickych-rad-jak-na-to
9,0.5792610983787454,0.275,0.5,3.8721476100579313,0,0.3903225806451613,0.802933286960599,0.5499999999999999,word2vec-eval-2,zbavte-se-domacich-alergenu-sest-praktickych-rad-jak-na-to,Zdraví,zbavte-se-domacich-alergenu-sest-praktickych-rad-jak-na-to
10,0.7489540955917754,0.425,0.5,5.984228124634984,0,0.7810810810810811,0.9430202252031452,0.8499999999999999,tfidf-full-text,zbavte-se-domacich-alergenu-sest-praktickych-rad-jak-na-to,Zdraví,zbavte-se-domacich-alergenu-sest-praktickych-rad-jak-na-to
